my build
found 151.15s of metadata, from 151 payloads, within /Users/jason/Desktop/GOPR0063.MP4
Now parsing gyro.
MP4 Payload time 0.000 to 1.001 seconds
0.053, 0.015, 0.013, 
0.031, 0.005, 0.005, 
0.011, -0.001, 0.014, 
-0.026, -0.001, 0.012, 
-0.024, 0.007, -0.004, 
-0.009, 0.013, 0.018, 
0.042, 0.014, 0.081, 
0.060, 0.035, 0.091, 
0.099, 0.055, 0.073, 
0.057, 0.052, 0.020, 
0.012, 0.050, -0.048, 
-0.055, 0.039, -0.081, 
-0.068, 0.041, -0.061, 
-0.086, 0.028, -0.045, 
-0.096, 0.021, -0.019, 
-0.069, 0.005, 0.025, 
-0.040, -0.002, 0.038, 
-0.002, 0.011, 0.020, 
0.047, 0.031, 0.026, 
0.085, 0.043, 0.051, 
0.082, 0.022, 0.036, 
0.045, 0.019, -0.005, 
0.005, 0.019, 0.002, 
-0.039, 0.027, -0.011, 
-0.018, 0.025, -0.004, 
-0.004, 0.043, 0.035, 
0.030, 0.035, 0.068, 
0.036, 0.040, 0.045, 
0.018, 0.042, -0.006, 
-0.002, 0.036, -0.034, 
-0.038, 0.025, -0.059, 
-0.039, 0.018, -0.049, 
-0.072, 0.024, -0.033, 
-0.072, 0.012, -0.030, 
-0.095, 0.014, -0.020, 
-0.091, 0.017, 0.014, 
-0.028, 0.033, 0.035, 
0.024, 0.027, 0.043, 
0.079, 0.045, 0.065, 
0.116, 0.030, 0.070, 
0.080, 0.028, 0.025, 
0.040, 0.014, 0.001, 
0.010, 0.019, 0.021, 
0.004, 0.021, 0.018, 
0.015, 0.022, 0.010, 
0.035, 0.029, 0.035, 
0.013, 0.026, 0.029, 
-0.007, 0.019, -0.006, 
-0.051, 0.015, -0.042, 
-0.072, 0.011, -0.060, 
-0.072, 0.021, -0.069, 
-0.073, 0.046, -0.046, 
-0.054, 0.043, -0.018, 
-0.044, 0.034, 0.003, 
-0.031, 0.040, 0.000, 
-0.002, 0.041, 0.000, 
0.035, 0.049, 0.026, 
0.071, 0.030, 0.055, 
0.110, 0.023, 0.068, 
0.094, -0.005, 0.055, 
0.057, -0.003, 0.014, 
0.011, 0.000, -0.021, 
-0.026, 0.017, -0.030, 
-0.046, 0.025, -0.025, 
-0.038, 0.031, 0.000, 
-0.046, 0.043, 0.009, 
-0.060, 0.039, 0.001, 
-0.083, 0.039, -0.014, 
-0.078, 0.046, -0.010, 
-0.060, 0.052, -0.018, 
-0.003, 0.039, 0.009, 
0.032, 0.030, 0.049, 
0.077, 0.028, 0.063, 
0.088, 0.011, 0.046, 
0.088, 0.012, 0.039, 
0.081, 0.019, 0.029, 
0.064, 0.014, 0.002, 
0.044, -0.005, -0.007, 
0.021, 0.002, -0.038, 
0.003, 0.011, -0.050, 
-0.040, 0.027, -0.068, 
-0.089, 0.052, -0.071, 
-0.115, 0.067, -0.048, 
-0.083, 0.066, -0.005, 
-0.044, 0.076, 0.010, 
0.002, 0.072, -0.002, 
0.020, 0.055, -0.010, 
0.015, 0.034, -0.020, 
-0.007, 0.008, -0.012, 
-0.005, 0.003, 0.032, 
0.011, -0.021, 0.081, 
0.054, -0.028, 0.093, 
0.095, -0.004, 0.077, 
0.102, 0.004, 0.057, 
0.082, 0.009, 0.008, 
0.049, 0.027, -0.018, 
0.028, 0.036, -0.028, 
0.024, 0.037, -0.042, 
0.017, 0.039, -0.073, 
-0.024, 0.055, -0.070, 
-0.085, 0.056, -0.058, 
-0.137, 0.044, -0.036, 
-0.101, 0.044, 0.011, 
-0.047, 0.062, 0.014, 
-0.020, 0.044, -0.015, 
0.039, 0.024, 0.009, 
0.077, -0.005, 0.029, 
0.036, -0.017, -0.007, 
0.050, -0.014, 0.005, 
0.026, 0.002, 0.053, 
0.035, 0.009, 0.036, 
0.045, 0.038, 0.011, 
0.039, 0.059, 0.032, 
0.025, 0.054, 0.017, 
-0.004, 0.051, -0.014, 
-0.027, 0.045, -0.034, 
-0.058, 0.026, -0.048, 
-0.073, 0.030, -0.051, 
-0.063, 0.036, -0.012, 
-0.072, 0.026, 0.001, 
-0.041, 0.007, -0.012, 
-0.013, 0.011, -0.012, 
0.022, 0.005, -0.002, 
